"","ticker","date","twtrlog10mentions","twtrsentiment"
"1","AAL",2020-01-01,1.17609125905568,0.142857143
"2","AAL",2020-01-02,1.34242268082221,0.714285714
"3","AAL",2020-01-03,1.96848294855394,0.282608696
"4","AAL",2020-01-04,1.17609125905568,0.357142857
"5","AAL",2020-01-05,1.46239799789896,0.285714286
"6","AAL",2020-01-06,1.76342799356294,0.228070175
"7","AAL",2020-01-07,1.80617997398389,0.126984127
"8","AAL",2020-01-08,1.80617997398389,0.365079365
"9","AAL",2020-01-09,1.53147891704226,0.696969697
"10","AAL",2020-01-10,1.57978359661681,0.459459459
"11","AAL",2020-01-11,1.34242268082221,0.571428571
"12","AAL",2020-01-12,1.04139268515822,0.8
"13","AAL",2020-01-13,1.47712125471966,0.344827586
"14","AAL",2020-01-14,1.81291335664286,0.359375
"15","AAL",2020-01-15,1.44715803134222,0.407407407
"16","AAL",2020-01-16,1.64345267648619,0.279069767
"17","AAL",2020-01-17,1.50514997831991,0.322580645
"18","AAL",2020-01-18,1.51851393987789,0.375
"19","AAL",2020-01-19,1.47712125471966,0.75862069
"20","AAL",2020-01-20,1.68124123737559,0.191489362
"21","AAL",2020-01-21,1.9731278535997,-0.075268817
"22","AAL",2020-01-22,2.01703333929878,0.368932039
"23","AAL",2020-01-23,2.43775056282039,0.344322344
"24","AAL",2020-01-24,2.13353890837022,0.155555556
"25","AAL",2020-01-25,1.57978359661681,0.135135135
"26","AAL",2020-01-26,1.23044892137827,0.5625
"27","AAL",2020-01-27,2.04139268515822,-0.119266055
"28","AAL",2020-01-28,1.77085201164214,0.275862069
"29","AAL",2020-01-29,1.68124123737559,-0.127659574
"30","AAL",2020-01-30,1.73239375982297,0
"31","AAL",2020-01-31,2.03342375548695,-0.168224299
"32","AAL",2020-02-01,1.47712125471966,0.103448276
"33","AAL",2020-02-02,1.25527250510331,0.117647059
"34","AAL",2020-02-03,1.49136169383427,-0.066666667
"35","AAL",2020-02-04,1.69019608002851,0.291666667
"36","AAL",2020-02-05,1.7481880270062,0.072727273
"37","AAL",2020-02-06,1.54406804435028,-0.058823529
"38","AAL",2020-02-07,1.43136376415899,0.423076923
"39","AAL",2020-02-08,0.903089986991944,0.142857143
"40","AAL",2020-02-09,0.954242509439325,0.5
"41","AAL",2020-02-10,1.65321251377534,0.318181818
"42","AAL",2020-02-11,1.70757017609794,0.36
"43","AAL",2020-02-12,1.54406804435028,0.529411765
"44","AAL",2020-02-13,1.53147891704226,0.333333333
"45","AAL",2020-02-14,1.67209785793572,0.152173913
"46","AAL",2020-02-15,1.46239799789896,0.428571429
"47","AAL",2020-02-16,1.14612803567824,-0.076923077
"48","AAL",2020-02-17,1.43136376415899,0.230769231
"49","AAL",2020-02-18,1.47712125471966,-0.103448276
"50","AAL",2020-02-19,1.65321251377534,0.386363636
"51","AAL",2020-02-20,1.57978359661681,0.216216216
"52","AAL",2020-02-21,1.49136169383427,0.1
"53","AAL",2020-02-22,1.17609125905568,-0.285714286
"54","AAL",2020-02-23,1.30102999566398,0.263157895
"55","AAL",2020-02-24,1.97772360528885,-0.063829787
"56","AAL",2020-02-25,2.06445798922692,-0.07826087
"57","AAL",2020-02-26,1.98677173426624,-0.208333333
"58","AAL",2020-02-27,2.15228834438306,-0.113475177
"59","AAL",2020-02-28,2.02938377768521,-0.113207547
"60","AAL",2020-02-29,1.7481880270062,-0.236363636
"61","AAL",2020-03-01,1.76342799356294,-0.105263158
"62","AAL",2020-03-02,2.24303804868629,-0.120689655
"63","AAL",2020-03-03,2.13353890837022,0.066666667
"64","AAL",2020-03-04,2.18752072083646,0.098039216
"65","AAL",2020-03-05,2.46982201597816,-0.085034014
