"Ticker","Date","Mentions","log10Mentions","Sentiment"
"AAPL","2018-08-01",16,1.23044892137827,0.1625875
"AAPL","2018-08-02",17,1.25527250510331,-0.1073411765
"AAPL","2018-08-03",6,0.845098040014257,0.3157833333
"AAPL","2018-08-04",0,0,0
"AAPL","2018-08-05",0,0,0
"AAPL","2018-08-06",2,0.477121254719662,0.52955
"AAPL","2018-08-07",3,0.602059991327962,0.2309666667
"AAPL","2018-08-08",0,0,0
"AAPL","2018-08-09",10,1.04139268515822,0.04412
"AAPL","2018-08-10",7,0.903089986991944,0.2296714286
"AAPL","2018-08-11",0,0,0
"AAPL","2018-08-12",0,0,0
"AAPL","2018-08-13",9,1,0.3062555556
"AAPL","2018-08-14",1,0.301029995663981,0.9186
"AAPL","2018-08-15",5,0.778151250383644,-0.20152
"AAPL","2018-08-16",8,0.954242509439325,0.101525
"AAPL","2018-08-17",11,1.07918124604762,0.0727636364
"AAPL","2018-08-18",0,0,0
"AAPL","2018-08-19",0,0,0
"AAPL","2018-08-20",14,1.17609125905568,0.0213714286
"AAPL","2018-08-21",18,1.27875360095283,0.0162277778
"AAPL","2018-08-22",7,0.903089986991944,-0.2989
"AAPL","2018-08-23",6,0.845098040014257,-0.2014166667
"AAPL","2018-08-24",15,1.20411998265592,-0.0944466667
"AAPL","2018-08-25",0,0,0
"AAPL","2018-08-26",0,0,0
"AAPL","2018-08-27",5,0.778151250383644,-0.19118
"AAPL","2018-08-28",12,1.11394335230684,0.08935
"AAPL","2018-08-29",12,1.11394335230684,0.150225
"AAPL","2018-08-30",52,1.72427586960079,0.0956134615
"AAPL","2018-08-31",52,1.72427586960079,-0.0054980769
"AAPL","2018-09-01",2,0.477121254719662,0.3825
"AAPL","2018-09-02",1,0.301029995663981,0
"AAPL","2018-09-03",0,0,0
"AAPL","2018-09-04",36,1.56820172406699,0.0188638889
"AAPL","2018-09-05",22,1.36172783601759,-0.1300363636
"AAPL","2018-09-06",26,1.43136376415899,0.0377730769
"AAPL","2018-09-07",37,1.57978359661681,0.0049351351
"AAPL","2018-09-08",4,0.698970004336019,-0.2209
"AAPL","2018-09-09",2,0.477121254719662,0
"AAPL","2018-09-10",37,1.57978359661681,0.0428540541
"AAPL","2018-09-11",49,1.69897000433602,0.0909102041
"AAPL","2018-09-12",72,1.86332286012046,0.0060666667
"AAPL","2018-09-13",45,1.66275783168157,0.1348133333
"AAPL","2018-09-14",30,1.49136169383427,0.00941
"AAPL","2018-09-15",0,0,0
"AAPL","2018-09-16",0,0,0
"AAPL","2018-09-17",38,1.5910646070265,0.0948157895
"AAPL","2018-09-18",31,1.50514997831991,-0.0052935484
"AAPL","2018-09-19",37,1.57978359661681,0.071972973
"AAPL","2018-09-20",15,1.20411998265592,0.0874333333
"AAPL","2018-09-21",46,1.67209785793572,-0.0915413043
"AAPL","2018-09-22",1,0.301029995663981,0.4854
"AAPL","2018-09-23",2,0.477121254719662,-0.1139
"AAPL","2018-09-24",26,1.43136376415899,0.1739461538
"AAPL","2018-09-25",15,1.20411998265592,0.1749533333
"AAPL","2018-09-26",9,1,0.2506444444
"AAPL","2018-09-27",22,1.36172783601759,0.06725
"AAPL","2018-09-28",12,1.11394335230684,0.027375
"AAPL","2018-09-29",1,0.301029995663981,0.9231
"AAPL","2018-09-30",0,0,0
"AAPL","2018-10-01",14,1.17609125905568,0.0097428571
"AAPL","2018-10-02",13,1.14612803567824,0.0182
"AAPL","2018-10-03",29,1.47712125471966,0.1816068966
"AAPL","2018-10-04",25,1.41497334797082,0.048932
"AAPL","2018-10-05",27,1.44715803134222,0.1578296296
"AAPL","2018-10-06",1,0.301029995663981,0.8176
"AAPL","2018-10-07",3,0.602059991327962,0.6858333333
"AAPL","2018-10-08",15,1.20411998265592,0.0791733333
"AAPL","2018-10-09",16,1.23044892137827,-0.070375
"AAPL","2018-10-10",24,1.39794000867204,0.0325958333
"AAPL","2018-10-11",16,1.23044892137827,-0.041325
"AAPL","2018-10-12",32,1.51851393987789,-0.050275
"AAPL","2018-10-13",5,0.778151250383644,0.10582
"AAPL","2018-10-14",0,0,0
"AAPL","2018-10-15",14,1.17609125905568,0.1237571429
"AAPL","2018-10-16",11,1.07918124604762,0.3203727273
"AAPL","2018-10-17",9,1,0.2586222222
"AAPL","2018-10-18",35,1.55630250076729,0.1031657143
"AAPL","2018-10-19",24,1.39794000867204,0.0742416667
"AAPL","2018-10-20",0,0,0
