ticker,date,low,high,close,open,vol
FB,2/1/2019,128.56,137.50999,135.67999,128.99001,28142593
FB,3/1/2019,131.12,137.17,131.74001,134.69,22716248
FB,4/1/2019,133.75,138,137.95,134.00999,29000732
FB,7/1/2019,135.91,138.87,138.05,137.56,20088916
FB,8/1/2019,139.53999,143.14,142.53,139.89,26252863
FB,9/1/2019,141.27,144.7,144.23,142.95,22203279
FB,10/1/2019,140.84,144.56,144.2,143.08,16111304
FB,11/1/2019,142.57001,145.36,143.8,143.14999,12907031
FB,14/1/2019,141.27,146.57001,145.39,142,20515678
FB,15/1/2019,145.99001,150.67999,148.95,146.00999,24065513
FB,16/1/2019,146.9975,149.6499,147.53999,149,18060414
FB,17/1/2019,146.5,149,148.3,146.95,15787914
FB,18/1/2019,148.55,152.42999,150.03999,149.75,32309412
FB,22/1/2019,146.37,151.53,147.57001,149.2,22393694
FB,23/1/2019,143.05499,148.8,144.3,148.28,20290491
FB,24/1/2019,142.52,146.44,145.83,144.64,20952818
FB,25/1/2019,146.53999,149.83,149.00999,147.48,22248554
FB,28/1/2019,146.21001,148.96001,147.47,148.05,15505583
FB,29/1/2019,143.42999,148.10001,144.19,148.09,17623463
FB,30/1/2019,145.6953,150.95,150.42,146.22,44839367
FB,31/1/2019,165,171.67999,166.69,165.60001,77224802
FB,1/2/2019,165.66,169.10001,165.71001,165.84,30787313
FB,4/2/2019,163.62,169.3,169.25,165.7,20033070
FB,5/2/2019,168.69,171.98,171.16,169.14999,22552317
FB,6/2/2019,169.27,172.47,170.49001,171.2,13276686
FB,7/2/2019,165.25,169.24001,166.38,168.2,17514509
FB,8/2/2019,164.21001,167.37,167.33,164.47,12557352
FB,11/2/2019,165.08,168.3,165.78999,167.89999,12809676
FB,12/2/2019,164.5,168.34,165.03999,166.86,16289790
FB,13/2/2019,163.73,166.22,164.07001,165.38,14201846
FB,14/2/2019,162.2468,164.86971,163.95,163.19,12755051
FB,15/2/2019,160.86,164.7,162.5,164.50999,15503425
FB,19/2/2019,160.33,164.14999,162.28999,160.5,14342090
FB,20/2/2019,161.25,163.72,162.56,162.25,11769814
FB,21/2/2019,159.59,162.24001,160.03999,161.92999,15603628
FB,22/2/2019,160.31,162.41,161.89,160.58,15853478
FB,25/2/2019,162.89999,166.07001,164.62,163.07001,18724806
FB,26/2/2019,163.8,166.24001,164.13,164.33501,13768863
FB,27/2/2019,160.41,163.92999,162.81,162.89999,12696385
FB,28/2/2019,160.86,163.5,161.45,162.37,11110985
FB,1/3/2019,161.69,163.132,162.28,162.60001,11091870
FB,4/3/2019,163.83,167.5,167.37,163.89999,18897868
FB,5/3/2019,166.55,171.88,171.25999,167.37,28181797
FB,6/3/2019,171.27,173.57001,172.50999,172.89999,21529923
FB,7/3/2019,167.61,171.74001,169.13,171.5,18303704
FB,8/3/2019,165.97,169.62,169.60001,166.2,13183831
FB,11/3/2019,171.58,174.3,172.07001,171.60001,18876533
FB,12/3/2019,171.2178,173.8,171.92,172.09,12154464
FB,13/3/2019,172.12,174.03,173.37,172.32001,11972186
FB,14/3/2019,168.16,171.14999,170.17,169.75999,18035564
FB,15/3/2019,162.50999,167.58,165.98,167.16,37572000
FB,18/3/2019,159.28,163.89999,160.47,163.57001,37516947
FB,19/3/2019,160.82001,163.82001,161.57001,161.48,25604048
FB,20/3/2019,161.24001,166.12,165.44,161.5,20210574
FB,21/3/2019,163.75,166.39,166.08,164.89,16210884
FB,22/3/2019,164.09,167.42,164.34,165.64999,16379185
FB,25/3/2019,162,166.53999,166.28999,163,12625530
FB,26/3/2019,166.3499,169.45,167.67999,167.35001,15428120
FB,27/3/2019,164.78999,168.94,165.87,167.85001,10619599
FB,28/3/2019,163.33,166.72,165.55,164.57001,10687283
FB,29/3/2019,164.81,167.19,166.69,166.39,13454164
FB,1/4/2019,167.2789,168.89999,168.7,167.83,10378030
FB,2/4/2019,169.55,174.89999,174.2,170.14,23940335
FB,3/4/2019,172.95,177.96001,173.53999,174.5,27586558
FB,4/4/2019,175.53011,178,176.02,176.02,17842393
FB,5/4/2019,175.10001,177,175.72,176.88,9592433
FB,8/4/2019,174.23,175.5,174.92999,175.21001,7296707
FB,9/4/2019,175.55,179.19,177.58,175.62,19739831
FB,10/4/2019,176.53999,178.78999,177.82001,178.17999,11695894
FB,11/4/2019,177,178.39999,177.50999,178.24001,8070305
FB,12/4/2019,177.95,179.63,179.10001,178,12328632
FB,15/4/2019,176.87,180.5,179.64999,178.5,10831062
FB,16/4/2019,178.3,180.17,178.87,179,11201079
FB,17/4/2019,178.36,180.74001,178.78,179.60001,9973132
FB,18/4/2019,177.34,178.88,178.28,178.8,11653213
FB,22/4/2019,178.25,181.66499,181.44,178.25,13383389
FB,23/4/2019,181.48,184.22,183.78,182.74001,19949804
FB,24/4/2019,181.64999,185.14,182.58,184.49001,37298949
FB,25/4/2019,192.12,198.48,193.25999,196.98,54155089
FB,26/4/2019,189.09,192.89999,191.49001,192.5,22219542
FB,29/4/2019,190.64999,195.41,194.78,190.95,19637094
FB,30/4/2019,192.28,197.39,193.39999,194.19,23493372
FB,1/5/2019,193.00999,196.1769,193.03,194.78,16040646
FB,2/5/2019,189.75,194,192.53,193,13205649
FB,3/5/2019,193.71001,196.16,195.47,194.38,14572941
FB,6/5/2019,190.55,194.28,193.88,191.24001,13988732
FB,7/5/2019,187.85001,192.89999,189.77,192.53999,16272769
FB,8/5/2019,188.55,190.72,189.53999,189.39,12504933
FB,9/5/2019,186.25999,189.77,188.64999,187.2,12961137
FB,10/5/2019,184.59,190,188.34,188.25,12575502
FB,13/5/2019,180.84,185.42999,181.53999,183.5,16830510
FB,14/5/2019,178.10001,183.49001,180.73,182.52,17624842
FB,15/5/2019,180.02,187.28,186.27,180.42,16744150
FB,16/5/2019,185.05,188.575,186.99001,185.05,12951511
FB,17/5/2019,184.28,187.58,185.3,184.84,10476870
FB,20/5/2019,181.37,184.23,182.72,181.88,10350001
FB,21/5/2019,183.88499,185.7,184.82001,184.57001,7502520
FB,22/5/2019,183.61,186.74001,185.32001,184.73,9207915
FB,23/5/2019,179.67,183.89999,180.87,182.42,12763820
FB,24/5/2019,180.83,183.63,181.06,182.33,8796601
FB,28/5/2019,181.4537,184.7119,184.31,181.53999,14839008
FB,29/5/2019,181.35001,184.56,182.19,183.5,12792785
FB,30/5/2019,180.89,183.48,183.00999,183.08,8575444
FB,31/5/2019,177.16,180.53999,177.47,180.28,15214637
FB,3/6/2019,161.00999,175.05,164.14999,175,56040709
FB,4/6/2019,160.84,168.28,167.5,163.71001,46029056
FB,5/6/2019,164.63,168.72,168.17,167.48,19751702
FB,6/6/2019,167.23,169.7,168.33,168.3,12442154
FB,7/6/2019,168.84,173.87,173.35001,170.17,16913743
FB,10/6/2019,173.8,177.86,174.82001,174.75,14761902
FB,11/6/2019,176.78999,179.98,178.10001,178.48,15257744
FB,12/6/2019,172.88,179.27,175.03999,178.38,17694249
FB,13/6/2019,174.606,178.03,177.47,175.53,12250237
FB,14/6/2019,180,181.8398,181.33,180.50999,16796491
FB,17/6/2019,184.41051,189.5,189.00999,185.00999,29735547
FB,18/6/2019,187.28,194.53,188.47,194,37557237
FB,19/6/2019,184.55,188.10001,187.48,187,21415811
FB,20/6/2019,187.64,191.16,189.53,190.95,14632040
FB,21/6/2019,188.75,192,191.14,188.75,22748359
FB,24/6/2019,191.57001,193.98,192.60001,192.42,15501855
FB,25/6/2019,188.13,193.14,188.84,192.88,16721033
FB,26/6/2019,187.31,190.75999,187.66,189.53999,12805696
FB,27/6/2019,188.27,189.95,189.5,189.88,11150583
FB,28/6/2019,189.94,193.2,193,190.55,16376478
FB,1/7/2019,191.92999,195.28,193,195.21001,14210390
FB,2/7/2019,192.71001,195,195,193,9048028
FB,3/7/2019,194.16,197.39999,197.2,194.16,10242419
FB,5/7/2019,194.17,197.07001,196.39999,196.17999,11155120
FB,8/7/2019,193.64,196.67999,195.75999,195.19,9713158
FB,9/7/2019,194.89,199.46001,199.21001,194.97,14692611
FB,10/7/2019,199.67,202.96001,202.73,200,20565392
FB,11/7/2019,200.21001,203.8,201.23,203.25999,13660365
FB,12/7/2019,199.16,205.3,204.87,199.67999,15360484
FB,15/7/2019,201.82001,205.33,203.91,204.25,16021835
FB,16/7/2019,203.10001,205.4707,203.84,203.89,12125820
FB,17/7/2019,201.59,204.36,201.8,204.17999,12073214
FB,18/7/2019,199.38,202.47,200.78,200.14999,11985254
FB,19/7/2019,198.07001,202.33,198.36,202.17999,12088144
FB,22/7/2019,198.81,202.57001,202.32001,199.91,13548024
FB,23/7/2019,200.96249,204.242,202.36,202.84,14570028
FB,24/7/2019,197.22,204.81,204.66,197.63,32553010
FB,25/7/2019,198.25999,208.66,200.71001,206.7,39887878
FB,26/7/2019,196.25,202.88,199.75,200.19,24625166
FB,29/7/2019,195.3,199.63,195.94,199,16527001
