rp_entity_id,category,relevance,ess,rpna_date_utc
036C6F,legal-issues-defendant,100,22,1/1/2021
3B2311,legal-issues-defendant,100,22,1/1/2021
723548,dividend,100,50,1/1/2021
7239BB,legal-issues-defendant,100,22,1/1/2021
CBFFDD,legal-issues-defendant,100,22,1/1/2021
D17F7E,business-contract,100,69,1/1/2021
EC8116,dividend,100,50,1/1/2021
F9AA02,executive-appointment,100,54,1/1/2021
1E9A6D,legal-issues-defendant,100,22,1/3/2021
47B4CC,legal-issues-defendant,100,22,1/3/2021
95F59E,legal-issues-defendant,100,22,1/3/2021
BAD655,legal-issues-defendant,100,22,1/3/2021
C9E107,legal-issues-defendant,100,22,1/3/2021
00067A,conference-participant,100,50,1/4/2021
00326D,conference-call,100,50,1/4/2021
9397,earnings,100,50,1/4/2021
03596A,asset-sale,100,62,1/4/2021
03D5F9,conference-participant,100,50,1/4/2021
55018,donation,100,54,1/4/2021
05D148,conference-participant,100,50,1/4/2021
06EE79,executive-appointment,100,54,1/4/2021
075CF7,executive-appointment,100,54,1/4/2021
099A02,executive-appointment,100,54,1/4/2021
09DE1F,note-sale,100,52,1/4/2021
0BD4E8,facility-open,100,65,1/4/2021
0BF198,clinical-trials-start,100,64,1/4/2021
0BF198,clinical-trials-start,100,64,1/4/2021
0BF198,clinical-trials-start,100,64,1/4/2021
0C355F,conference-participant,100,50,1/4/2021
0D03C8,conference-participant,100,50,1/4/2021
0E2992,conference-call,100,50,1/4/2021
0E439E,earnings,100,50,1/4/2021
0E64D4,asset-sale,100,62,1/4/2021
0F0693,conference-participant,100,50,1/4/2021
10C19B,dividend-up,100,81,1/4/2021
11074E,conference-participant,100,50,1/4/2021
125212,executive-appointment,100,54,1/4/2021
129DC8,executive-appointment,100,54,1/4/2021
12F98C,partnership,100,61,1/4/2021
131443,partnership,100,61,1/4/2021
139303,executive-appointment,100,54,1/4/2021
15B10D,conference-participant,100,50,1/4/2021
184988,conference-participant,100,50,1/4/2021
1A2D9F,acquisition-acquiree,100,76,1/4/2021
1A2D9F,acquisition-acquiree,100,76,1/4/2021
1CD09C,conference-participant,100,50,1/4/2021
1CD4B5,conference-participant,100,50,1/4/2021
1EBF8D,conference-participant,100,50,1/4/2021
1F352C,earnings,100,50,1/4/2021
1F352C,earnings,100,50,1/4/2021
1F716B,acquisition-completed-acquirer,100,49,1/4/2021
1F9D90,conference-participant,100,50,1/4/2021
21245F,executive-appointment,100,54,1/4/2021
221AD7,earnings,100,50,1/4/2021
2920D5,conference-participant,100,50,1/4/2021
2A02DC,conference-participant,100,50,1/4/2021
2A1009,conference-participant,100,50,1/4/2021
2AA6A8,conference-participant,100,50,1/4/2021
2B49F4,executive-appointment,100,54,1/4/2021
2B8179,conference-participant,100,50,1/4/2021
2B9DBB,conference-call,100,50,1/4/2021
2CF9D3,regulatory-product-approval-granted,100,81,1/4/2021
2CF9D3,conference-participant,100,50,1/4/2021
2E0445,conference-participant,100,50,1/4/2021
2EB88B,executive-resignation,100,44,1/4/2021
2F5256,conference-call,100,50,1/4/2021
30DFD3,conference-call,100,50,1/4/2021
338544,conference-call,100,50,1/4/2021
3.30E+34,executive-resignation,100,44,1/4/2021
34B411,earnings,100,50,1/4/2021
36529A,executive-appointment,100,54,1/4/2021
367E1C,conference-participant,100,50,1/4/2021
3.88E+02,dividend,100,50,1/4/2021
39D9DA,earnings,100,50,1/4/2021
39FB23,executive-appointment,100,54,1/4/2021
3A4BDB,conference-call,100,50,1/4/2021
3BBD10,credit-extension-recipient,100,69,1/4/2021
3C7F5F,business-contract,100,69,1/4/2021
3D7971,executive-appointment,100,54,1/4/2021
3D7971,executive-appointment,100,54,1/4/2021
3DD5E2,conference-participant,100,50,1/4/2021
3FACA7,conference-participant,100,50,1/4/2021
407878,executive-appointment,100,54,1/4/2021
40F7DE,executive-appointment,100,54,1/4/2021
41B53E,dividend,100,50,1/4/2021
467F2C,conference-participant,100,50,1/4/2021
46CF27,earnings,100,50,1/4/2021
4A2457,business-contract,100,69,1/4/2021
4D371E,executive-appointment,100,54,1/4/2021
4D72C8,conference-call,100,50,1/4/2021
4D72C8,conference-call,100,50,1/4/2021
4DD09F,unit-acquisition-acquirer,100,49,1/4/2021
4E4E75,conference-participant,100,50,1/4/2021
50070E,conference-organizer,100,57,1/4/2021
50070E,conference-organizer,100,57,1/4/2021
50070E,conference-organizer,100,57,1/4/2021
50070E,conference-organizer,100,57,1/4/2021
5288FC,public-offering,100,43,1/4/2021
52BF94,conference-call,100,50,1/4/2021
56B7C1,dividend,100,50,1/4/2021
57DDB9,unit-acquisition-acquirer,100,49,1/4/2021
57F3DA,unit-acquisition-acquirer,100,49,1/4/2021
594402,conference-participant,100,50,1/4/2021
59C539,conference-call,100,50,1/4/2021
59DB8C,conference-participant,100,50,1/4/2021
5C7601,executive-appointment,100,54,1/4/2021
5FC507,conference-participant,100,50,1/4/2021
5FDBD0,conference-participant,100,50,1/4/2021
5FE4B6,conference-participant,100,50,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-organizer,100,57,1/4/2021
619882,conference-call,100,50,1/4/2021
619882,conference-organizer,100,57,1/4/2021
627186,conference-participant,100,50,1/4/2021
6391C2,conference-participant,100,50,1/4/2021
63F892,earnings,100,50,1/4/2021
6474BA,earnings,100,50,1/4/2021
6830FE,conference-participant,100,50,1/4/2021
69CE71,dividend,100,50,1/4/2021
6E1E61,earnings,100,50,1/4/2021
7122EB,executive-appointment,100,54,1/4/2021
73C521,business-contract,100,69,1/4/2021
7448A3,conference-participant,100,50,1/4/2021
748EB6,conference-participant,100,50,1/4/2021
763724,dividend,100,50,1/4/2021
763DBE,conference-participant,100,50,1/4/2021
76DD0C,conference-participant,100,50,1/4/2021
7710F3,public-offering,100,43,1/4/2021
7AF907,conference-participant,100,50,1/4/2021
7F3669,conference-participant,100,50,1/4/2021
810FAD,conference-call,100,50,1/4/2021
8377DB,acquisition-completed-acquirer,100,49,1/4/2021
83B1C8,legal-issues-defendant,100,22,1/4/2021
83B1C8,legal-issues-defendant,100,22,1/4/2021
83B1C8,legal-issues-defendant,100,22,1/4/2021
85CDC9,conference-participant,100,50,1/4/2021
862941,executive-appointment,100,54,1/4/2021
881190,acquisition-completed-acquirer,100,49,1/4/2021
88193E,conference-participant,100,50,1/4/2021
8AB85C,clinical-trials,100,56,1/4/2021
8E82A6,executive-appointment,100,54,1/4/2021
8E8E6E,product-release,100,64,1/4/2021
