rp_entity_id,category,relevance,ess,rpna_date_utc
270305,merger-completed,100,66,1/1/2020
868808,private-placement,100,56,1/1/2020
C66B44,partnership,100,61,1/1/2020
FAE021,award,100,58,1/1/2020
03B431,conference-participant,100,50,1/2/2020
03B8CF,asset-sale,100,62,1/2/2020
06C826,acquisition-acquirer,100,49,1/2/2020
095A04,conference-participant,100,50,1/2/2020
0A6824,unit-acquisition-completed-acquiree,100,67,1/2/2020
0E439E,earnings,100,50,1/2/2020
105D00,conference-call,100,50,1/2/2020
10C19B,dividend-up,100,81,1/2/2020
12E454,earnings,100,50,1/2/2020
17EDA5,acquisition-acquiree,100,76,1/2/2020
17EDA5,acquisition-acquiree,100,76,1/2/2020
17EDA5,acquisition-acquiree,100,76,1/2/2020
1921DD,product-release,100,64,1/2/2020
1A5D5D,legal-issues-defendant,100,22,1/2/2020
1A5D5D,legal-issues-defendant,100,22,1/2/2020
1E9A6D,acquisition-completed-acquirer,100,49,1/2/2020
1EBF8D,conference-participant,100,50,1/2/2020
1F9D90,conference-participant,100,50,1/2/2020
1FAF22,legal-issues-defendant,100,22,1/2/2020
221AD7,earnings,100,50,1/2/2020
22C58E,earnings,100,50,1/2/2020
239106,business-contract,100,69,1/2/2020
24A89A,legal-issues-defendant,100,22,1/2/2020
25A6CC,legal-issues-defendant,100,22,1/2/2020
28F905,executive-appointment,100,54,1/2/2020
2AA6A8,conference-participant,100,50,1/2/2020
2C19A4,dividend,100,50,1/2/2020
2EB04E,earnings,100,50,1/2/2020
2F7474,conference-call,100,50,1/2/2020
30DFD3,business-contract,100,69,1/2/2020
3159AA,facility-open,100,65,1/2/2020
328250,acquisition-completed-acquirer,100,49,1/2/2020
33AD83,product-release,100,64,1/2/2020
33AD83,product-release,100,64,1/2/2020
34B411,merger-completed,100,66,1/2/2020
34B411,earnings,100,50,1/2/2020
384CD3,acquisition-completed-acquirer,100,49,1/2/2020
385DD4,business-contract,100,69,1/2/2020
39BFF6,conference-call,100,50,1/2/2020
3A3447,facility-open,100,65,1/2/2020
3A94DF,unit-acquisition-completed-acquirer,100,49,1/2/2020
3B50FE,conference-participant,100,50,1/2/2020
3DD5E2,conference-participant,100,50,1/2/2020
41785E,earnings,100,50,1/2/2020
41A93D,conference-participant,100,50,1/2/2020
41B53E,dividend,100,50,1/2/2020
41EC04,legal-issues-defendant,100,22,1/2/2020
449A26,acquisition-completed-acquiree,100,76,1/2/2020
45BC35,conference-participant,100,50,1/2/2020
4885C8,earnings,100,50,1/2/2020
514067,conference-participant,100,50,1/2/2020
520632,conference-call,100,50,1/2/2020
59C539,conference-call,100,50,1/2/2020
5B3415,executive-appointment,100,54,1/2/2020
5D43A7,conference-call,100,50,1/2/2020
5E9934,conference-call,100,50,1/2/2020
5F2FF7,earnings,100,50,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
619882,conference-organizer,100,57,1/2/2020
61B81B,dividend,100,50,1/2/2020
63F892,earnings,100,50,1/2/2020
651C85,campaign-ad-release,100,59,1/2/2020
665618,dividend,100,50,1/2/2020
69CE71,dividend,100,50,1/2/2020
6A01DF,merger-failed,100,21,1/2/2020
6CC55E,clinical-trials,100,56,1/2/2020
6DDA15,legal-issues-defendant,100,22,1/2/2020
6E1E61,earnings,100,50,1/2/2020
71E2EF,facility-open,100,65,1/2/2020
723548,dividend,100,50,1/2/2020
72DF04,acquisition-acquirer,100,49,1/2/2020
741937,executive-appointment,100,54,1/2/2020
7520CC,acquisition-completed-acquirer,100,49,1/2/2020
763724,dividend,100,50,1/2/2020
76DD0C,conference-participant,100,50,1/2/2020
76E80F,hirings,100,65,1/2/2020
76F067,partnership,100,61,1/2/2020
78A1BB,acquisition-completed-acquirer,100,49,1/2/2020
7A0EC4,conference-participant,100,50,1/2/2020
7D85A9,executive-appointment,100,54,1/2/2020
810FAD,conference-call,100,50,1/2/2020
81EAD4,conference-participant,100,50,1/2/2020
84AB66,merger-completed,100,66,1/2/2020
855DF7,business-contract,100,69,1/2/2020
85DE00,conference-participant,100,50,1/2/2020
8665BA,conference-call,100,50,1/2/2020
88193E,executive-appointment,100,54,1/2/2020
8EF425,earnings,100,50,1/2/2020
8F3231,unit-acquisition-acquirer,100,49,1/2/2020
911AB8,ownership-decrease-owner,100,46,1/2/2020
911AB8,ownership-decrease-owner,100,46,1/2/2020
911AB8,ownership-decrease-owner,100,46,1/2/2020
911AB8,ownership-decrease-owner,100,46,1/2/2020
92D3A0,conference-call,100,50,1/2/2020
9.36E+10,business-contract,100,69,1/2/2020
94637C,conference-participant,100,50,1/2/2020
9978F1,conference-participant,100,50,1/2/2020
9C3D3C,unit-acquisition-acquirer,100,49,1/2/2020
9D5FA4,conference-participant,100,50,1/2/2020
9E0811,executive-appointment,100,54,1/2/2020
9F37C5,dividend,100,50,1/2/2020
9FA83B,conference-participant,100,50,1/2/2020
9FB4B7,clinical-trials,100,56,1/2/2020
A3230E,conference-participant,100,50,1/2/2020
A5B913,earnings,100,50,1/2/2020
A6828A,dividend,100,50,1/2/2020
A72FD9,conference-participant,100,50,1/2/2020
A80FE0,facility-close,100,47,1/2/2020
A868C9,conference-participant,100,50,1/2/2020
ABBAD1,earnings,100,50,1/2/2020
